date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:00	25479/25479	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:02%20GMT	https://demo.tailadmin.com/robots.txt		(from )
14:38:00	151848/151848	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:02%20GMT	https://demo.tailadmin.com/	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/index.html	(from )
14:38:00	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%227a9accd6f497f300bfb3691cea8d4443%22	https://demo.tailadmin.com/favicon.ico	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/favicon.ico	(from https://demo.tailadmin.com/)
14:38:00	195814/195814	---MCZ	200	added ('OK')	text/css	etag:W/%22b9d8f5b18d0fdc05354dfc8bb7a608d3%22	https://demo.tailadmin.com/style.css	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/style.css	(from https://demo.tailadmin.com/)
14:38:01	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Wed,%2029%20Jan%202025%2007:38:03%20GMT	https://demo.tailadmin.com/cdn-cgi/zaraz/s.js?z=	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/cdn-cgi/zaraz/sd0d9.js	(from https://demo.tailadmin.com/)
14:38:01	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:03%20GMT	https://demo.tailadmin.com/index.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/index-2.html	(from https://demo.tailadmin.com/)
14:38:01	6365/6365	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227e6d8240e32437f7ba7b2ee3baec0a03%22	https://demo.tailadmin.com/src/images/logo/logo.svg	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/src/images/logo/logo.svg	(from https://demo.tailadmin.com/)
14:38:01	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:03%20GMT	https://demo.tailadmin.com/index.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/index-2.html	(from https://demo.tailadmin.com/)
14:38:01	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:03%20GMT	https://demo.tailadmin.com/analytics.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/analytics.html	(from https://demo.tailadmin.com/)
14:38:02	164609/164609	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:04%20GMT	https://demo.tailadmin.com/analytics	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/analytics.html	(from https://demo.tailadmin.com/)
14:38:02	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:04%20GMT	https://demo.tailadmin.com/marketing.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/marketing.html	(from https://demo.tailadmin.com/)
14:38:03	248548/248548	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:05%20GMT	https://demo.tailadmin.com/marketing	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/marketing.html	(from https://demo.tailadmin.com/)
14:38:03	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:05%20GMT	https://demo.tailadmin.com/crm.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/crm.html	(from https://demo.tailadmin.com/)
14:38:03	199265/199265	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:05%20GMT	https://demo.tailadmin.com/crm	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/crm.html	(from https://demo.tailadmin.com/)
14:38:03	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:05%20GMT	https://demo.tailadmin.com/stocks.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/stocks.html	(from https://demo.tailadmin.com/)
